application_id,district_name,gender,residential_type,specially_abled_type,enterprise_type,sector,ifsc_code,days_to_bhd_verification,days_to_sbdu_verification,days_to_dlic_approval,days_to_bank_sanction,days_to_disbursement,total_tat_days,applicant_monthly_income,loan_tenure_months,interest_rate,emi_amount,emi_to_income_ratio,risk_score,credit_eligibility_score,repayment_status,loan_amount_inr,project_cost_inr
0,Ganderbal,Unknown,Rural,Hearing,Nano Entrepreneur,It,JKBK074274,14.0,9.0,32.0,8.0,15.0,164.0,66090.0,24.0,6.89,17897.0,0.3,44.0,0.29,Late,6914.0,3298000.0
1,Kupwara,Male,Urban,Locomotor,Msme Sunrise Sector,Manufacturing,JKBK061718,39.0,17.0,54.0,104.0,45.0,212.0,16201.0,24.0,12.27,17897.0,0.3,74.0,0.02,On-Time,5670705.0,656000.0
2,Kathua,Female,Urban,Unknown,Msme Sunrise Sector,It,JKBK083305,5.0,5.0,30.0,65.0,26.0,188.0,20911.0,48.0,8.15,17897.0,0.3,66.0,0.05,On-Time,5045.0,59056.0
3,Doda,Female,Rural,Hearing,Nano Entrepreneur,Retail,JKBK081014,25.0,16.0,34.0,27.0,10.0,164.0,92788.0,48.0,8.92,17897.0,0.3,8.0,0.31,Unknown,3029000.0,3328529.0
4,Shopian,Male,Unknown,Multiple,Nano Entrepreneur,Tourism,JKBK021968,4.0,16.0,54.0,16.0,5.0,164.0,24436.0,60.0,11.17,17897.0,0.3,39.0,0.87,Late,1817953.0,3917000.0
5,Baramulla,Other,Rural,Locomotor,Nano Entrepreneur,Unknown,JKBK017820,38.0,87.0,38.0,68.0,44.0,212.0,116015.0,24.0,7.57,17897.0,0.3,20.0,0.5,Late,3473011.0,6295808.0
6,Bandipora,Male,Rural,Locomotor,Existing Enterprise,Tourism,JKBK084740,32.0,5.0,5.0,25.0,27.0,164.0,107993.0,36.0,13.41,17897.0,0.3,51.0,0.76,On-Time,1830212.5,2475000.0
7,Rajouri,Other,Urban,Unknown,Nano Entrepreneur,Healthcare,JKBK027962,23.0,38.0,30.0,98.0,32.0,212.0,109721.0,18.0,14.26,17897.0,0.3,77.0,0.76,Unknown,4577776.0,2045013.0
8,Ramban,Female,Urban,Multiple,Unknown,Services,JKBK092433,40.0,54.0,45.0,81.0,44.0,212.0,113085.0,60.0,9.57,17897.0,0.3,49.0,0.71,On-Time,3235082.0,11199.0
9,Doda,Unknown,Rural,Multiple,Existing Enterprise,It,JKBK080279,9.0,59.0,32.0,33.0,41.0,188.0,36496.0,12.0,8.67,17897.0,0.3,19.0,0.85,Late,3785000.0,4529996.0
10,Kulgam,Male,Urban,Locomotor,Nano Entrepreneur,Healthcare,JKBK013021,22.0,48.0,25.0,113.0,14.0,188.0,96817.0,36.0,10.56,17897.0,0.3,51.0,0.91,On-Time,1830212.5,2301000.0
11,Kathua,Female,Rural,Hearing,Nano Entrepreneur,Retail,JKBK012532,17.0,64.0,17.0,91.0,13.0,202.0,111002.0,24.0,12.59,17897.0,0.3,88.0,0.17,On-Time,38040.0,51009.0
