Application ID,District Name,Gender,Residential Type,Specially Abled Type,Enterprise Type,Sector,IFSC Code,Application Date,Initiated Flag,Submitted Flag,Verified by BHD Flag,Verified by SBDU Flag,Approved by DLIC Flag,Bank Sanctioned Flag,Bank Disbursed Flag,Days_to_BHD_Verification,Days_to_SBDU_Verification,Days_to_DLIC_Approval,Days_to_Bank_Sanction,Days_to_Disbursement,Total_TAT_Days,Loan Amount (Mixed Units),Project Cost (Mixed Units),Applicant_Monthly_Income,Loan_Tenure_Months,Interest_Rate_%,EMI_Amount,EMI_to_Income_Ratio,Risk_Score,Credit_Eligibility_Score,Repayment_Status,Days_Overdue
0.0,Ganderbal,,Rural,Hearing,Nano Entrepreneur,IT,JKBK074274,As on Feb 2026,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,32.0,8.0,15.0,78.0,$6914,3298k INR,66090.0,24.0,6.89,,,44.0,0.29,late,0.0
1.0,Kupwara,male ,Urban,Locomotor,MSME Sunrise Sector,Manufacturing,JKBK061718,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,17.0,54.0,104.0,45.0,259.0,5670705,656k INR,16201.0,24.0,12.27,,,74.0,0.02,ONTIME,0.0
2.0,Kathua,Female,Urban,,MSME Sunrise Sector,IT,JKBK083305,2023-07-26,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,30.0,,26.0,,$5045,$59056,20911.0,48.0,8.15,,,66.0,0.05,ONTIME,0.0
3.0,Doda,Female,rural,Hearing,nano entrepreneur,Retail,JKBK081014,2026-11-22,1.0,1.0,0.0,1.0,1.0,1.0,0.0,25.0,16.0,34.0,27.0,10.0,112.0,3029k INR,₹3328529,92788.0,48.0,8.92,32399.0,0.349,8.0,0.31,,0.0
4.0,Shopian,male ,,Multiple,nano entrepreneur,Tourism,JKBK021968,7/6/2021,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,16.0,54.0,16.0,5.0,95.0,₹1817953,3917k INR,24436.0,60.0,11.17,4175.0,0.171,39.0,0.87,late,0.0
5.0,Baramulla,Other,rural,Locomotor,Nano Entrepreneur,,JKBK017820,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,38.0,87.0,38.0,68.0,44.0,275.0,3473011,₹6295808,116015.0,24.0,7.57,23602.0,0.203,20.0,0.5,Delayed,0.0
6.0,Bandipora,male ,Rural,Locomotor,Existing enterprise,Tourism,JKBK084740,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,32.0,5.0,5.0,25.0,27.0,94.0,,2475k INR,107993.0,36.0,13.41,,,,0.76,ONTIME,0.0
7.0,Rajouri,Other,urban ,,nano entrepreneur,Healthcare,JKBK027962,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,23.0,38.0,30.0,98.0,32.0,221.0,₹4577776,2045013,109721.0,18.0,14.26,,,77.0,0.76,,170.0
8.0,Ramban,Female,urban ,Multiple,,Services,JKBK092433,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40.0,54.0,45.0,81.0,44.0,264.0,3235082,$11199,113085.0,60.0,9.57,30829.0,0.273,49.0,0.71,On-time,74.0
9.0,Doda,,Rural,Multiple,Existing Enterprise,IT,JKBK080279,As on Feb 2026,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,59.0,,33.0,41.0,,3785k INR,4529996,36496.0,12.0,8.67,,,19.0,0.85,Delayed,0.0
10.0,Kulgam,male ,Urban,Locomotor,nano entrepreneur,Healthcare,JKBK013021,9-20-2024,1.0,1.0,0.0,1.0,1.0,1.0,1.0,22.0,,25.0,113.0,14.0,,,,96817.0,36.0,,,,51.0,0.91,ONTIME,0.0
11.0,Kathua,Female,rural,Hearing,nano entrepreneur,Retail,JKBK012532,19/9/2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,64.0,17.0,91.0,13.0,202.0,$38040,$51009,111002.0,24.0,12.59,33856.0,0.305,88.0,0.17,ONTIME,175.0
12.0,Ganderbal,male ,,Visual,nano entrepreneur,IT,JKBK025453,11-25-2023,1.0,1.0,1.0,1.0,1.0,0.0,0.0,18.0,56.0,56.0,51.0,11.0,192.0,₹3292269,4502k INR,50678.0,,8.89,,,16.0,0.28,On-time,25.0
13.0,Kathua,male ,rural,,,Healthcare,JKBK027907,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,13.0,44.0,18.0,65.0,33.0,173.0,2958k INR,5826618,93896.0,48.0,9.12,,,71.0,0.46,Delayed,0.0
14.0,Doda,,Rural,,MSME Sunrise Sector,Services,JKBK027223,2023-05-27,1.0,1.0,1.0,0.0,0.0,0.0,0.0,37.0,,48.0,64.0,6.0,,$32318,,51792.0,24.0,10.85,,,96.0,0.22,late,0.0
